"Fetch Data","Gegevens ophalen"
"<b>Enabling order export makes customers eligible to earn points.</b></br> If this option is disabled, customers will not earn points for their purchases.</br>Customers will still be added to Leat upon their first purchase.</br></br>","<b>In sommige gevallen verandert de betaalmethode de status niet naar 'verwerken'.</b></br>In zulke gevallen kan de betaalmethode hier worden ingesteld en toch worden gemarkeerd als 'toegestaan voor export naar Leat'</br>ondanks dat deze op 'in afwachting' blijft staan.</br>"
Queue,Wachtrij
"Send error email(s) to:","Verzend foutmeldingen naar:"
"Comma seperated list of emails","Komma-gescheiden lijst van e-mails"
"Calls per second","Verzoeken per seconde"
"Rate limit for Leat Job Digestion","Snelheidslimiet voor Leat-taakverwerking"
"Prepaid Balance","Prepaid Saldo"
"Enable Prepaid Balance in Checkout","Prepaid saldo inschakelen bij afrekenen"
"Enable slider for applying prepaid balance during checkout","Schuifregelaar inschakelen om prepaid saldo toe te passen tijdens het afrekenen"
"Section Title","Sectietitel"
"Title to display for the prepaid balance section in checkout","Titel voor de prepaid saldo sectie bij afrekenen"
"Refer a Friend","Verwijs een vriend"
Enabled,Ingeschakeld
"Widget Heading","Widget Koptekst"
"Default heading for the Refer a Friend widget","Standaard koptekst voor de Verwijs-een-vriend-widget"
"Default title for the Refer a Friend section","Standaardtitel voor de Verwijs-een-vriend-sectie"
"Section Subtitle","Sectie Ondertitel"
"Default subtitle for the Refer a Friend section","Standaard ondertitel voor de Verwijs-een-vriend-sectie"
"Share Message","Deelbericht"
"Default message to be shared via social media","Standaardbericht om te delen via sociale media"
"Email Subject","E-mailonderwerp"
"Default subject line for email sharing","Standaard onderwerpregel voor e-maildeling"
"Enabled Social Icons","Ingeschakelde sociale pictogrammen"
"Default selection of social sharing icons to display","Standaardselectie van sociale deelpictogrammen om weer te geven"
"Popup Title","Pop-up Titel"
"The title displayed in the referral popup","Titel weergegeven in de verwijs-pop-up"
"Popup Subtitle","Pop-up Ondertitel"
"The subtitle displayed in the referral popup","Ondertitel weergegeven in de verwijs-pop-up"
"Popup Message","Pop-up Bericht"
"The instructional message displayed in the referral popup","Instructiebericht weergegeven in de verwijs-pop-up"
"Popup Button Text","Pop-up Knoptekst"
"The text displayed on the submit button in the referral popup","Tekst op de verzendknop in de verwijs-pop-up"
"Success Message","Succesbericht"
"The message displayed after successful email submission","Bericht weergegeven na succesvolle e-mailverzending"
"Discount Amount","Kortingsbedrag"
"The discount amount displayed in the popup (e.g., ""50% off"")","Kortingsbedrag weergegeven in de pop-up (bijv. ""50% korting"")"
"Sync the data on every extension update to ensure the Leat backend gets updated with the latest attributes.","Synchroniseer de gegevens bij elke extensie-update om ervoor te zorgen dat de Leat backend wordt bijgewerkt met de nieuwste attributen."
"Sync the data on every extension update to ensure the Leat backend gets updated with the latest attributes.","Synchroniseer de gegevens bij elke extensie-update om ervoor te zorgen dat de Leat-backend wordt bijgewerkt met de nieuwste attributen."
Yes,Ja
No,Nee
"Could not save the applied gift card: %1","Kon de toegepaste cadeaubon niet opslaan: %1"
"Applied gift card with id ""%1"" does not exist.","Toegepaste cadeaubon met id ""%1"" bestaat niet."
"Could not delete the applied gift card: %1","Kon de toegepaste cadeaubon niet verwijderen: %1"
"Missing gift card code.","Cadeauboncode ontbreekt."
"GiftCard is invalid or expired.","Cadeaubon is ongeldig of verlopen."
"There is no available balance on the gift card.","Er staat geen beschikbaar saldo op de cadeaubon."
"An unexpected error occurred while applying the gift card.","Er is een onverwachte fout opgetreden bij het toepassen van de cadeaubon."
"Applied gift card with ID ""%1"" does not belong to quote ID ""%2"".","Toegepaste cadeaubon met ID ""%1"" behoort niet tot offerte-ID ""%2""."
"Gift card removed successfully.","Cadeaubon succesvol verwijderd."
"An unexpected error occurred while removing the gift card.","Er is een onverwachte fout opgetreden bij het verwijderen van de cadeaubon."
"Gift card %1 is no longer valid.","Cadeaubon %1 is niet meer geldig."
"Insufficient balance on gift card %1.","Onvoldoende saldo op cadeaubon %1."
"<b>Enabling order export makes customers eligible to earn points.</b></br> If this option is disabled, customers will not earn points for their purchases.</br>Customers will still be added to Leat upon their first purchase.</br></br>","<b>Het inschakelen van orderexport maakt klanten in aanmerking voor het verdienen van punten.</b></br> Als deze optie is uitgeschakeld, verdienen klanten geen punten voor hun aankopen.</br>Klanten worden nog steeds toegevoegd aan Leat bij hun eerste aankoop.</br></br>"
"Leat Giftcard","Leat Cadeaubon"
"Enable Leat Giftcards","Leat Cadeaubonnen inschakelen"
"Allow purchase and redemption of Leat Giftcards.","Sta aankoop en inwisseling van Leat Cadeaubonnen toe."
"Giftcard Program","Cadeaubonprogramma"
"Select the configured Gift Card Program in Piggy","Selecteer het geconfigureerde cadeaubonprogramma in Piggy"
"Enable Giftcard Balance Check","Saldo controleren cadeaubon inschakelen"
"Allow customers to check their gift card balance on the frontend","Sta klanten toe hun cadeaubonsaldo te controleren op de frontend"
"Max Balance Checks Per Session","Maximaal aantal saldo-controles per sessie"
"Maximum number of gift card balance checks allowed per session per day","Maximaal aantal toegestane saldo-controles per sessie per dag"
"Giftcard Form","Cadeaubonformulier"
"Show 'Send as gift' Form","Toon 'Als cadeau verzenden'-formulier"
"Show form on giftcard product page","Toon formulier op cadeaubon-productpagina"
"Show Recipient Email","Toon e-mailadres ontvanger"
"Show Recipient Firstname","Toon voornaam ontvanger"
"Show Recipient Lastname","Toon achternaam ontvanger"
"Show Sender Message","Toon bericht van verzender"
