"Enable or disable the header section with title","Enable or disable the header section with title"
"Credit Name","Credit Name"
"Label to display for credit points (e.g., ""Points"", ""Credits"", etc.)","Label to display for credit points (e.g., ""Points"", ""Credits"", etc.)"
"Prepaid Balance Name","Prepaid Balance Name"
"Label to display for prepaid balance","Label to display for prepaid balance"
"Leat: Activity Log","Leat: Activity Log"
"Displays customer's transaction history and activity log","Displays customer's transaction history and activity log"
"Your received credits","Your received credits"
"1 column (Disabled FPC)","1 column (Disabled FPC)"
"Leat Gift Card","Leat Gift Card"
"Leat Gift Card amount Refunded","Leat Gift Card amount Refunded"
"Leat Gift Card amount to Refund","Leat Gift Card amount to Refund"
"Gift Card Amount","Gift Card Amount"
"An error occurred.","An error occurred."
"Gift card functionality is disabled.","Gift card functionality is disabled."
"Please try again later.","Please try again later."
"Please enter a gift card code.","Please enter a gift card code."
"Gift card not found.","Gift card not found."
"Balance retrieved successfully.","Balance retrieved successfully."
"An unexpected error occurred while checking the balance.","An unexpected error occurred while checking the balance."
"Leat Gift Cards","Leat Gift Cards"
"Gift Card Options","Gift Card Options"
"I want to send this as a gift","I want to send this as a gift"
"Recipient Email","Recipient Email"
" (Optional)"," (Optional)"
"Recipient First Name","Recipient First Name"
"Recipient Last Name","Recipient Last Name"
Message,Message
"Gift Card Balance Check","Gift Card Balance Check"
"Gift Card Code","Gift Card Code"
"Enter gift card code","Enter gift card code"
"Check Balance","Check Balance"
"Enter Gift Card Code","Enter Gift Card Code"
"Apply Gift Card","Apply Gift Card"
"Remove Gift Card","Remove Gift Card"
"Could not apply gift card.","Could not apply gift card."
"Could not remove gift card.","Could not remove gift card."
"Apply Leat Gift Card","Apply Leat Gift Card"
"Current Balance: ","Current Balance: "
"Expires: ","Expires: "
Inactive,Inactive
"Could not retrieve balance.","Could not retrieve balance."
"An error occurred while checking the balance.","An error occurred while checking the balance."
"Leat Gift Card Refunded","Leat Gift Card Refunded"
"Gift Card Balance","Gift Card Balance"
