"Prepaid Balance","Prepaid Saldo"
"Leat: Activity Log","Leat: Activiteitenlogboek"
"Displays customer's transaction history and activity log","Toont het transactieoverzicht en activiteitenlogboek van de klant"
"Your received credits","Uw ontvangen krediet"
"1 column (Disabled FPC)","1 kolom (FPC uitgeschakeld)"
"Leat Gift Card","Leat Cadeaubon"
"Leat Gift Card amount Refunded","Leat Cadeaubonbedrag terugbetaald"
"Leat Gift Card amount to Refund","Leat Cadeaubonbedrag te retourneren"
"Gift Card Amount","Cadeaubonbedrag"
"An error occurred.","Er is een fout opgetreden."
"Gift card functionality is disabled.","Cadeaubonfunctionaliteit is uitgeschakeld."
"Please try again later.","Probeer het later opnieuw."
"Please enter a gift card code.","Voer een cadeauboncode in."
"Gift card not found.","Cadeaubon niet gevonden."
"Balance retrieved successfully.","Saldo succesvol opgehaald."
"An unexpected error occurred while checking the balance.","Er is een onverwachte fout opgetreden bij het controleren van het saldo."
"Leat Gift Cards","Cadeaubonnen"
"Gift Card Options","Cadeaubonopties"
"I want to send this as a gift","Ik wil dit als cadeau versturen"
"Recipient Email","E-mailadres ontvanger"
" (Optional)"," (Optioneel)"
"Recipient First Name","Voornaam ontvanger"
"Recipient Last Name","Achternaam ontvanger"
Message,Bericht
"Gift Card Balance Check","Cadeaubonsaldo"
"Gift Card Code","Cadeauboncode"
"Enter gift card code","Voer cadeauboncode in"
"Check Balance","Controleer saldo"
"Enter Gift Card Code","Voer cadeauboncode in"
"Apply Gift Card","Cadeaubon toepassen"
"Remove Gift Card","Cadeaubon verwijderen"
"Could not apply gift card.","Kon cadeaubon niet toepassen."
"Could not remove gift card.","Kon cadeaubon niet verwijderen."
"Apply Leat Gift Card","Leat Cadeaubon toepassen"
"Current Balance: ","Huidig saldo: "
"Expires: ","Vervalt op: "
Inactive,Inactief
"Could not retrieve balance.","Kon saldo niet ophalen."
"An error occurred while checking the balance.","Er is een fout opgetreden bij het controleren van het saldo."
"Leat Gift Card Refunded","Leat Cadeaubon terugbetaald"
"Gift Card Balance","Cadeaubonsaldo"
